source_row,view_rate,view_rate_bin,hashtags,transaction,hashtag_count
405,1.6891891891891893,high_view_rate,hashtag=55555,hashtag=55555|high_view_rate,1
406,1.6891891891891893,high_view_rate,hashtag=55555,hashtag=55555|high_view_rate,1
407,2.1621621621621623,high_view_rate,hashtag=55555,hashtag=55555|high_view_rate,1
409,0.0736196319018405,low_view_rate,hashtag=burgers,hashtag=burgers|low_view_rate,1
412,0.08588957055214724,low_view_rate,hashtag=orgadaburgers|hashtag=burgerlovers|hashtag=برجر_فلسطين,hashtag=orgadaburgers|hashtag=burgerlovers|hashtag=برجر_فلسطين|low_view_rate,3
413,0.0736196319018405,low_view_rate,hashtag=orgadaburgers|hashtag=برجر,hashtag=orgadaburgers|hashtag=برجر|low_view_rate,2
414,0.0736196319018405,low_view_rate,hashtag=برجر|hashtag=رام_الله|hashtag=نابلس|hashtag=توصيل,hashtag=برجر|hashtag=رام_الله|hashtag=نابلس|hashtag=توصيل|low_view_rate,4
445,6.461538461538462,high_view_rate,hashtag=القدس,hashtag=القدس|high_view_rate,1
446,8.923076923076923,high_view_rate,hashtag=القدس|hashtag=مطعم_روبيان,hashtag=القدس|hashtag=مطعم_روبيان|high_view_rate,2
453,0.4,avg_view_rate,hashtag=عرابة,hashtag=عرابة|avg_view_rate,1
454,15.68,high_view_rate,hashtag=8899,hashtag=8899|high_view_rate,1
465,0.76,high_view_rate,hashtag=فروج_ابو_العبد,hashtag=فروج_ابو_العبد|high_view_rate,1
471,0.1,avg_view_rate,hashtag=جمعتك_غير,hashtag=جمعتك_غير|avg_view_rate,1
472,0.5308641975308642,avg_view_rate,hashtag=شاورما_الحلو|hashtag=مشاوي_غزة|hashtag=مطاعم_غزة|hashtag=النصر|hashtag=طعم_زمان,hashtag=شاورما_الحلو|hashtag=مشاوي_غزة|hashtag=مطاعم_غزة|hashtag=النصر|hashtag=طعم_زمان|avg_view_rate,5
473,0.025925925925925925,low_view_rate,hashtag=الكل_انتبه|hashtag=شاورما_ومشاوي_الحلو,hashtag=الكل_انتبه|hashtag=شاورما_ومشاوي_الحلو|low_view_rate,2
474,0.03827160493827161,low_view_rate,hashtag=غزة|hashtag=مطعم_الحلو|hashtag=ملوك_الشاورما|hashtag=مشاوي_غزة|hashtag=طعم_زمان,hashtag=غزة|hashtag=مطعم_الحلو|hashtag=ملوك_الشاورما|hashtag=مشاوي_غزة|hashtag=طعم_زمان|low_view_rate,5
475,0.006395061728395062,low_view_rate,hashtag=غزة|hashtag=مطعم_الحلو|hashtag=ملوك_الشاورما|hashtag=مشاوي_غزة|hashtag=طعم_زمان,hashtag=غزة|hashtag=مطعم_الحلو|hashtag=ملوك_الشاورما|hashtag=مشاوي_غزة|hashtag=طعم_زمان|low_view_rate,5
476,0.004481481481481481,low_view_rate,hashtag=الكل_انتبه|hashtag=شاورما_ومشاوي_الحلو,hashtag=الكل_انتبه|hashtag=شاورما_ومشاوي_الحلو|low_view_rate,2
478,0.03827160493827161,low_view_rate,hashtag=جمعةمباركة|hashtag=كيلو_مشاوي_مشكل45شيكل,hashtag=جمعةمباركة|hashtag=كيلو_مشاوي_مشكل45شيكل|low_view_rate,2
